cliente_id,codigo_cliente,segmento,ciudad,pais,edad,ingreso_mensual,fecha_alta,estatus
224,CLI-000224,Empresarial,CDMX,Colombia,48,48498,2022-12-13,Activo
225,CLI-000225,Empresarial,Medellin,Mexico,28,94964,2024-04-21,Inactivo
226,CLI-000226,Nomina,CDMX,Mexico,27,37039,2022-10-16,Activo
227,CLI-000227,Empresarial,Cali,Colombia,31,65155,2023-08-29,Activo
228,CLI-000228,Pyme,Queretaro,Mexico,27,92745,2025-10-30,Activo
229,CLI-000229,Digital,Queretaro,Colombia,45,82271,2026-07-09,Activo
230,CLI-000230,Digital,Queretaro,Mexico,54,45493,2023-03-06,Activo
231,CLI-000231,Digital,Monterrey,Colombia,41,80422,2022-12-04,Activo
232,CLI-000232,Nomina,CDMX,Mexico,41,26362,2023-05-09,Activo
233,CLI-000233,Digital,Bogota,Colombia,63,19769,2024-08-23,Activo
234,CLI-000234,Pyme,Puebla,Mexico,31,16713,2025-01-31,Activo
235,CLI-000235,Digital,Guadalajara,Colombia,27,37469,2023-07-06,Activo
236,CLI-000236,Digital,Puebla,Mexico,42,35769,2026-07-19,Inactivo
237,CLI-000237,Premium,Cali,Mexico,35,12549,2023-12-19,Inactivo
238,CLI-000238,Digital,Puebla,Mexico,58,46783,2021-11-04,Activo
239,CLI-000239,Digital,Monterrey,Mexico,45,25519,2023-08-24,Activo
240,CLI-000240,Premium,Medellin,Mexico,64,69236,2026-01-09,Inactivo
241,CLI-000241,Pyme,Medellin,Mexico,62,75947,2025-08-01,Activo
242,CLI-000242,Premium,CDMX,Mexico,34,50637,2024-03-04,Activo
243,CLI-000243,Premium,Monterrey,Mexico,27,97155,2022-08-17,Activo
244,CLI-000244,Pyme,Medellin,Mexico,51,34981,2022-03-17,Activo
245,CLI-000245,Digital,Cali,Mexico,55,73279,2022-11-27,Activo
246,CLI-000246,Premium,Cali,Colombia,54,59987,2022-09-22,Activo
247,CLI-000247,Nomina,Bogota,Mexico,57,21300,2022-12-12,Activo
248,CLI-000248,Empresarial,CDMX,Mexico,34,21629,2022-11-22,Activo
249,CLI-000249,Digital,Cali,Colombia,53,13605,2025-12-01,Activo
250,CLI-000250,Pyme,Bogota,Mexico,34,23586,2021-09-05,Activo
251,CLI-000251,Pyme,Medellin,Colombia,48,70398,2023-05-02,Activo
252,CLI-000252,Pyme,Queretaro,Mexico,63,34785,2025-02-02,Activo
253,CLI-000253,Digital,Monterrey,Mexico,62,79586,2025-03-06,Activo
254,CLI-000254,Digital,Puebla,Colombia,56,93915,2022-04-08,Activo
255,CLI-000255,Pyme,Bogota,Mexico,39,31080,2024-01-19,Activo
256,CLI-000256,Premium,Cali,Mexico,26,63411,2023-06-18,Activo
257,CLI-000257,Digital,Queretaro,Mexico,22,45197,2022-09-30,Activo
258,CLI-000258,Digital,CDMX,Mexico,61,44622,2021-07-21,Inactivo
259,CLI-000259,Premium,Guadalajara,Colombia,34,66131,2021-09-14,Activo
260,CLI-000260,Premium,Queretaro,Colombia,62,90191,2025-09-18,Inactivo
261,CLI-000261,Nomina,Cali,Colombia,37,52585,2021-07-18,Inactivo
262,CLI-000262,Empresarial,Cali,Mexico,45,17657,2021-04-17,Activo
263,CLI-000263,Empresarial,Queretaro,Mexico,62,84595,2024-02-10,Activo
264,CLI-000264,Nomina,Guadalajara,Mexico,31,24758,2022-08-22,Inactivo
265,CLI-000265,Premium,Medellin,Mexico,58,88734,2022-02-23,Activo
266,CLI-000266,Nomina,Bogota,Mexico,26,37124,2025-04-25,Activo
267,CLI-000267,Pyme,Medellin,Colombia,33,73059,2026-08-12,Activo
268,CLI-000268,Digital,CDMX,Mexico,33,44487,2023-12-03,Inactivo
269,CLI-000269,Digital,Monterrey,Mexico,61,34553,2023-04-23,Activo
270,CLI-000270,Nomina,Guadalajara,Colombia,47,45426,2023-09-01,Activo
271,CLI-000271,Premium,Bogota,Mexico,31,75927,2021-11-22,Activo
272,CLI-000272,Premium,Bogota,Mexico,45,13558,2023-09-04,Activo
273,CLI-000273,Premium,Guadalajara,Mexico,43,18462,2025-07-20,Activo
274,CLI-000274,Nomina,Queretaro,Colombia,40,54192,2024-03-04,Activo
275,CLI-000275,Premium,Medellin,Colombia,37,81481,2022-08-04,Activo
276,CLI-000276,Nomina,Monterrey,Mexico,64,92112,2026-04-18,Inactivo
277,CLI-000277,Nomina,Puebla,Colombia,54,96050,2023-02-20,Activo
278,CLI-000278,Empresarial,Puebla,Colombia,60,41808,2022-12-08,Activo
279,CLI-000279,Premium,Bogota,Mexico,28,56353,2023-10-12,Activo
280,CLI-000280,Pyme,CDMX,Mexico,33,68615,2023-09-11,Activo
281,CLI-000281,Empresarial,Guadalajara,Mexico,32,92367,2022-09-14,Activo
282,CLI-000282,Empresarial,Puebla,Colombia,59,9408,2025-07-18,Activo
283,CLI-000283,Nomina,Queretaro,Colombia,22,74649,2024-06-21,Activo
284,CLI-000284,Pyme,Medellin,Mexico,42,34034,2022-03-17,Activo
285,CLI-000285,Pyme,Queretaro,Mexico,34,35159,2025-11-21,Activo
286,CLI-000286,Pyme,Monterrey,Mexico,62,87174,2021-09-06,Activo
287,CLI-000287,Premium,Puebla,Colombia,62,68421,2022-05-16,Activo
288,CLI-000288,Premium,Guadalajara,Mexico,53,50617,2022-01-09,Activo
289,CLI-000289,Digital,Medellin,Colombia,45,95101,2023-08-16,Activo
290,CLI-000290,Pyme,Guadalajara,Mexico,61,84242,2026-03-03,Activo
291,CLI-000291,Nomina,Monterrey,Mexico,47,86626,2025-08-23,Inactivo
292,CLI-000292,Digital,Queretaro,Mexico,59,37967,2021-06-07,Activo
293,CLI-000293,Empresarial,Cali,Mexico,64,51103,2025-05-06,Activo
294,CLI-000294,Pyme,Cali,Mexico,54,42260,2023-10-02,Activo
295,CLI-000295,Pyme,Queretaro,Mexico,24,96319,2024-02-08,Inactivo
296,CLI-000296,Empresarial,Monterrey,Mexico,45,27915,2025-11-16,Activo
297,CLI-000297,Empresarial,Queretaro,Mexico,26,37688,2024-08-05,Inactivo
298,CLI-000298,Premium,Bogota,Mexico,31,81943,2021-05-19,Activo
299,CLI-000299,Premium,Guadalajara,Colombia,27,72828,2024-01-01,Inactivo
300,CLI-000300,Premium,Bogota,Mexico,21,84203,2021-07-01,Activo
301,CLI-000301,Digital,Puebla,Colombia,30,71645,2026-08-16,Activo
302,CLI-000302,Pyme,Queretaro,Mexico,47,51488,2024-01-02,Activo
303,CLI-000303,Premium,CDMX,Mexico,32,95973,2026-07-31,Inactivo
304,CLI-000304,Digital,Medellin,Colombia,24,16668,2025-11-10,Activo
305,CLI-000305,Premium,Medellin,Mexico,37,41575,2024-06-13,Activo
306,CLI-000306,Empresarial,Guadalajara,Mexico,58,66836,2021-12-22,Inactivo
307,CLI-000307,Nomina,Puebla,Mexico,22,8851,2025-09-26,Activo
308,CLI-000308,Premium,Medellin,Mexico,58,16583,2023-10-13,Activo
309,CLI-000309,Pyme,Medellin,Colombia,41,12191,2026-04-08,Inactivo
310,CLI-000310,Empresarial,Queretaro,Mexico,61,36304,2021-05-30,Activo
311,CLI-000311,Digital,Bogota,Mexico,23,22621,2025-05-11,Inactivo
312,CLI-000312,Pyme,Cali,Mexico,54,20596,2021-04-06,Activo
313,CLI-000313,Premium,Cali,Mexico,39,83481,2024-10-22,Inactivo
314,CLI-000314,Empresarial,Puebla,Colombia,21,32599,2021-03-28,Activo
315,CLI-000315,Pyme,Cali,Mexico,50,67460,2026-03-16,Activo
316,CLI-000316,Digital,Bogota,Mexico,26,72051,2023-03-16,Activo
317,CLI-000317,Pyme,CDMX,Mexico,33,40393,2025-03-13,Activo
318,CLI-000318,Nomina,Puebla,Mexico,38,10364,2024-09-26,Activo
319,CLI-000319,Premium,Monterrey,Mexico,33,42902,2026-03-18,Inactivo
320,CLI-000320,Empresarial,Cali,Mexico,27,42266,2025-11-30,Activo
321,CLI-000321,Premium,CDMX,Mexico,38,51581,2026-04-03,Activo
322,CLI-000322,Pyme,Bogota,Mexico,28,17628,2025-01-02,Inactivo
323,CLI-000323,Pyme,Queretaro,Colombia,34,38126,2022-03-18,Inactivo
324,CLI-000324,Empresarial,Guadalajara,Mexico,62,26077,2024-12-14,Inactivo
325,CLI-000325,Empresarial,Monterrey,Mexico,42,59829,2025-05-07,Activo
326,CLI-000326,Empresarial,Puebla,Mexico,45,61300,2023-09-08,Activo
327,CLI-000327,Premium,Cali,Mexico,51,47461,2025-01-29,Activo
328,CLI-000328,Empresarial,Medellin,Mexico,42,65000,2025-05-07,Activo
329,CLI-000329,Digital,Medellin,Mexico,64,51131,2024-06-24,Activo
330,CLI-000330,Empresarial,Bogota,Mexico,55,40358,2021-10-08,Activo
331,CLI-000331,Digital,CDMX,Colombia,49,39951,2023-02-18,Activo
332,CLI-000332,Empresarial,Bogota,Mexico,53,94915,2024-04-26,Activo
333,CLI-000333,Pyme,Queretaro,Mexico,46,59771,2024-03-26,Activo
334,CLI-000334,Digital,Queretaro,Mexico,35,10211,2026-02-06,Activo
335,CLI-000335,Empresarial,CDMX,Colombia,26,36070,2024-03-07,Activo
336,CLI-000336,Premium,Puebla,Mexico,51,36702,2025-01-11,Inactivo
337,CLI-000337,Nomina,Medellin,Mexico,50,22792,2021-04-15,Activo
338,CLI-000338,Nomina,Guadalajara,Mexico,63,28867,2024-06-15,Activo
339,CLI-000339,Digital,Puebla,Mexico,47,25759,2023-06-07,Activo
340,CLI-000340,Digital,Guadalajara,Colombia,56,13631,2026-02-12,Inactivo
341,CLI-000341,Nomina,Monterrey,Mexico,31,85637,2023-10-14,Activo
